sep=,
TIME,CH0,
00:22:55,1.745420,
00:22:55,1.745420,
00:22:56,1.746405,
00:22:56,1.745420,
00:22:56,1.743450,
00:22:57,1.745420,
00:22:57,1.744435,
00:22:57,1.742465,
00:22:58,1.742465,
00:22:58,1.742465,
00:22:58,1.742465,
00:22:59,1.742465,
00:22:59,1.744435,
00:22:59,1.741480,
00:23:00,1.740495,
00:23:00,1.742465,
00:23:00,1.743450,
00:23:01,1.743450,
00:23:01,1.742465,
00:23:01,1.744435,
00:23:02,1.742465,
00:23:02,1.740495,
00:23:02,1.740495,
00:23:03,1.741480,
00:23:03,1.742465,
00:23:03,1.741480,
00:23:04,1.742465,
00:23:05,1.743450,
00:23:05,1.741480,
00:23:06,1.743450,
00:23:06,1.742465,
00:23:06,1.741480,
00:23:07,1.744435,
00:23:08,1.742465,
00:23:08,1.744435,
00:23:08,1.745420,
00:23:09,1.744435,
00:23:09,1.744435,
00:23:09,1.744435,
00:23:10,1.744435,
00:23:10,1.744435,
00:23:10,1.744435,
00:23:11,1.741480,
00:23:11,1.743450,
00:23:12,1.742465,
00:23:12,1.744435,
00:23:13,1.743450,
00:23:13,1.742465,
00:23:13,1.742465,
00:23:14,1.742465,
00:23:14,1.743450,
00:23:14,1.740495,
00:23:15,1.741480,
00:23:15,1.742465,
00:23:16,1.739510,
00:23:16,1.739510,
00:23:16,1.739510,
00:23:17,1.739510,
00:23:17,1.740495,
00:23:18,1.740495,
00:23:18,1.738525,
00:23:18,1.738525,
00:23:19,1.741480,
00:23:19,1.741480,
00:23:19,1.740495,
00:23:19,1.743450,
00:23:20,1.744435,
00:23:20,1.743450,
00:23:20,1.742465,
00:23:21,1.742465,
00:23:21,1.743450,
00:23:21,1.742465,
00:23:22,1.741480,
00:23:22,1.741480,
00:23:23,1.743450,
00:23:23,1.741480,
00:23:23,1.743450,
00:23:23,1.741480,
00:23:24,1.743450,
00:23:24,1.744435,
00:23:25,1.744435,
00:23:25,1.743450,
00:23:25,1.742465,
00:23:26,1.745420,
00:23:26,1.742465,
00:23:27,1.743450,
00:23:27,1.742465,
00:23:27,1.744435,
00:23:28,1.741480,
00:23:29,1.742465,
00:23:29,1.740495,
00:23:30,1.742465,
00:23:30,1.742465,
00:23:31,1.740495,
00:23:31,1.740495,
00:23:32,1.742465,
00:23:32,1.740495,
00:23:33,1.741480,
00:23:33,1.742465,
00:23:33,1.738525,
00:23:34,1.740495,
00:23:35,1.740495,
00:23:35,1.738525,
00:23:36,1.739510,
00:23:36,1.741480,
00:23:36,1.740495,
00:23:36,1.739510,
00:23:37,1.741480,
00:23:37,1.742465,
00:23:38,1.742465,
00:23:38,1.743450,
00:23:38,1.741480,
00:23:39,1.742465,
00:23:39,1.742465,
00:23:39,1.742465,
00:23:40,1.742465,
00:23:40,1.742465,
00:23:40,1.739510,
00:23:41,1.742465,
00:23:41,1.741480,
00:23:42,1.739510,
00:23:42,1.738525,
00:23:42,1.737540,
00:23:42,1.739510,
00:23:43,1.739510,
00:23:43,1.737540,
00:23:43,1.739510,
00:23:43,1.739510,
00:23:44,1.738525,
00:23:44,1.738525,
00:23:44,1.739510,
00:23:45,1.737540,
00:23:45,1.736555,
00:23:45,1.737540,
00:23:46,1.737540,
00:23:46,1.737540,
00:23:47,1.738525,
00:23:47,1.738525,
00:23:47,1.738525,
00:23:48,1.738525,
00:23:48,1.739510,
00:23:48,1.739510,
00:23:49,1.739510,
00:23:49,1.740495,
00:23:49,1.740495,
00:23:50,1.738525,
00:23:50,1.742465,
00:23:50,1.739510,
00:23:51,1.740495,
00:23:51,1.739510,
00:23:51,1.740495,
00:23:52,1.740495,
00:23:52,1.740495,
00:23:53,1.741480,
00:23:53,1.742465,
00:23:54,1.742465,
00:23:54,1.742465,
00:23:54,1.742465,
00:23:55,1.741480,
00:23:55,1.742465,
00:23:55,1.742465,
00:23:56,1.742465,
00:23:56,1.740495,
00:23:56,1.739510,
00:23:57,1.737540,
00:23:57,1.731630,
00:23:57,1.763150,
00:23:58,1.731630,
00:23:58,1.732615,
00:23:58,1.732615,
00:23:59,1.732615,
00:23:59,1.734585,
00:23:59,1.733600,
00:24:00,1.734585,
00:24:00,1.733600,
00:24:01,1.735570,
00:24:01,1.735570,
00:24:01,1.735570,
00:24:02,1.736555,
00:24:02,1.736555,
00:24:02,1.739510,
00:24:02,1.739510,
00:24:02,1.742465,
00:24:03,1.740495,
00:24:03,1.738525,
00:24:04,1.739510,
00:24:04,1.739510,
00:24:05,1.740495,
00:24:05,1.742465,
00:24:06,1.741480,
00:24:06,1.742465,
00:24:06,1.739510,
00:24:06,1.739510,
00:24:07,1.743450,
00:24:08,1.743450,
00:24:08,1.744435,
00:24:08,1.745420,
00:24:08,1.743450,
00:24:09,1.741480,
00:24:10,1.743450,
00:24:10,1.742465,
00:24:10,1.742465,
00:24:11,1.741480,
00:24:11,1.742465,
00:24:11,1.738525,
00:24:12,1.738525,
00:24:12,1.740495,
00:24:13,1.739510,
00:24:13,1.741480,
00:24:14,1.740495,
00:24:14,1.739510,
00:24:15,1.740495,
00:24:15,1.739510,
00:24:15,1.737540,
00:24:15,1.739510,
00:24:16,1.739510,
00:24:16,1.739510,
00:24:16,1.740495,
00:24:17,1.740495,
00:24:17,1.740495,
00:24:17,1.738525,
00:24:18,1.738525,
00:24:18,1.739510,
00:24:19,1.739510,
00:24:19,1.739510,
00:24:20,1.737540,
00:24:20,1.736555,
00:24:20,1.735570,
